Part No,Description,UPC,ARQOOB SOH,HMV_SOH,VMS-U_SOH,VMS-Q_SOH,Vir_SOH,Retailer SOH,HMV_Cost,VMS-U_Cost,VMS-Q_Cost,Vir (QAR)_Cost,Final_Cost,HMV_Price,VMS-U_Price,VMS-Q_Price,Vir (QAR)_Price,HMV_RRP,VMS-U_RRP,VMS-Q_RRP,Vir (QAR)_RRP,Jan_HMV,Jan_VMS-U,Jan_VMS-Q,Jan_Vir,Jan_Total,Feb_HMV,Feb_VMS-U,Feb_VMS-Q,Feb_Vir,Feb_Total,Mar_HMV,Mar_VMS-U,Mar_VMS-Q,Mar_Vir,Mar_Total,Apr_HMV,Apr_VMS-U,Apr_VMS-Q,Apr_Vir,Apr_Total,May_HMV,May_VMS-U,May_VMS-Q,May_Vir,May_Total,Jun_HMV,Jun_VMS-U,Jun_VMS-Q,Jun_Vir,Jun_Total,Jul_HMV,Jul_VMS-U,Jul_VMS-Q,Jul_Vir,Jul_Total,Month,Weeks
,Baseus Cafule Cable Durable Nylon Braided Wire USB/ micro US,6.95316E+11,,,,,0,0,,,,,0,,,,,,,,37,,,,,0,,,,,0,,,,0,0,,,,,0,,,,0,0,,,,0,0,,,,0,0,0,5
BTC-320BK      ,Brave 2-port USB Wall Charger Black,7.4479E+11,,5,38,27,,70,18.71,22,22,,22,54.45,44.5,49.5,,,93,99,,,,,,0,,,,,0,,,,,0,,0,0,,0,,12,0,,12,,20,3,,23,,20,1,,21,3,5
BAC-106,Brave Lightning to 3.5mm Audio Cable Black,7.4479E+11,15,0,,,,0,,,,,0,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,3,,,,3,1,5
BHL-712        ,BRAVE LOTTO SERIES MAGNETIC CAR MOUNTS                                                                        ,7.4479E+11,,,40,,,40,,12.99,,,12.99,,34.5,,,,69,,,,6,,,6,,13,,,13,,16,,,16,,21,,,21,,5,,,5,,10,,,10,,30,,,30,7,5
BHL-713        ,BRAVE 2-IN-1 UNIVERSAL MAGNETIC HOLDER                                                                        ,7.4479E+11,,,48,,,48,,12.81,,,12.81,,29.5,,,,59,,,,12,,,12,,18,,,18,,14,,,14,,44,,,44,,30,,,30,,47,,,47,,40,,,40,7,5
BTC-320BK,Brave 2-port USB Wall Charger Black,7.4479E+11,3662,5,,,,5,,,,,0,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
BAC-106,Brave Lightning to 3.5mm Audio Cable Black,7.44796E+11,,5,,,,5,22.36,,,,22.36,54.45,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,2,,,,2,,,,,0,1,5
BTC-320,Brave 2-port USB Wall Charger White,7.44796E+11,,5,,,,5,18.71,,,,18.71,54.45,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,5
BTC-320,Brave 2-port USB Wall Charger White,7.44796E+11,,4,,,,4,,,,,0,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,,,,1,1,5
FE020-1W,Bone Collection PANDA STRAP-WHITE,4.71282E+12,16,3,,,,3,7.33,,,,7.33,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
FE021-1G,Bone Collection DINOSAUR STRAP-GREEN,4.71282E+12,19,3,,,,3,7.33,,,,7.33,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
FE030-1GR,Bone Collection TIGER STRAP-GREY,4.71282E+12,20,3,,,,3,7.33,,,,7.33,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
FE031-1R,Bone Collection NINJA STRAP-RED,4.71282E+12,16,3,,,,3,7.33,,,,7.33,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
FE031-1BK,Bone Collection NINJA STRAP-BLACK,4.71282E+12,14,3,,,,3,7.33,,,,7.33,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
FE036-1G,Bone Collection OWL STRAP-GREEN,4.71282E+12,20,3,,,,3,7.33,,,,7.33,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
FE038-1BR,Bone Collection DEER STRAP-BROWN,4.71282E+12,19,3,,,,3,7.33,,,,7.33,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
FE045-BK,Bone Collection CAT STRAP-BLACK,4.71608E+12,21,3,,,,3,7.33,,,,7.33,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
FE053-BK,Bone Collection Candy Maru Strap-BLACK,4.71608E+12,27,3,,,,3,7.33,,,,7.33,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
FE059-R,Bone Collection Ninja Wrap-RED,4.71608E+12,83,3,,,,3,7.35,,,,7.35,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
AP14021-BK     ,Bone Collection LinKey Lightning-BLACK,4.71608E+12,33,5,2,,,7,25.09,25.09,,,25.09,65.45,59.5,,,,129,,,,1,,,1,,7,,,7,,0,,,0,,2,,,2,,0,,,0,,0,,,0,0,0,,,0,3,5
LF14062-D,Bone Collection Q Cord Ties-SML(D),4.71608E+12,30,2,,,,2,11.19,,,,11.19,32.45,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,,,,1,0,,,,0,1,5
LF14062-C,Bone Collection Q Cord Ties-SML(C),4.71608E+12,86,2,,,,2,11.19,,,,11.19,32.45,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,,,,1,0,,,,0,1,5
LF16001-PEN,Bone Collection Cord Pocket-Maru Penguin,4.71608E+12,16,3,,,,3,10.81,,,,10.81,32.45,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
LF16001-DUC,Bone Collection Cord Pocket-Patti Duck,4.71608E+12,17,3,,,,3,10.81,,,,10.81,32.45,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
LF16001-DEE,Bone Collection Cord Pocket-Mr. Deer,4.71608E+12,16,3,,,,3,10.81,,,,10.81,32.45,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
LF16301-PEN,Bone Collection Charm Lanyard Plus-Maru Penguin,4.71608E+12,48,5,,,,5,11.19,,,,11.19,32.45,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
LF16301-DUC,Bone Collection Charm Lanyard Plus-Patti Duck,4.71608E+12,49,5,,,,5,11.19,,,,11.19,32.45,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
LF16301-DEE,Bone Collection Charm Lanyard Plus-Mr. Deer,4.71608E+12,45,5,,,,5,11.19,,,,11.19,32.45,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0,0,5
BK18002-R      ,BONE COLLECTION BIKE TIE PRO 2 RED                                                                            ,4.71608E+12,2,,35,6,,41,,23.16,23.16,,23.16,,39.5,44.5,,,79,89,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,0,0,,0,,1,2,,3,1,5
BK18002-BK     ,BONE COLLECTION BIKE TIE PRO 2 BLACK                                                                          ,4.71608E+12,1,,6,0,,6,,23.16,23.16,,23.16,,39.5,44.5,,,79,89,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,0,0,,0,,6,0,,6,1,5
