PERIODE DU 11/08/19 AU 17/08/19
Sku;UPC;Catalogue N›;Title;Label;Cost Price;V.S.P.;301.Quantit;301.Sales Quantity;301.Sales Value;302.Quantit;302.Sales Quantity;302.Sales Value;303.Quantit;303.Sales Quantity;303.Sales Value;304.Quantit;304.Sales Quantity;304.Sales Value;305.Quantit;305.Sales Quantity;305.Sales Value;306.Quantit;306.Sales Quantity;306.Sales Value;307.Quantit;307.Sales Quantity;307.Sales Value;322.Quantit;322.Sales Quantity;322.Sales Value;390.Quantit;390.Sales Quantity;390.Sales Value;398.Quantit;398.Sales Quantity;398.Sales Value;399.Quantit;399.Sales Quantity;399.Sales Value
317277;4716076166958;BK18002-BK     ;BONE COLLECTION BIKE TIE PRO 2 BLACK                                                                          ;BONE COLLECTION               ;00000044.5000;00000089.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
317278;4716076166941;BK18002-R      ;BONE COLLECTION BIKE TIE PRO 2 RED                                                                            ;BONE COLLECTION               ;00000044.5000;00000089.0000;00000002.0000;00000000.0000;00000000.0000;00000002.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000002.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
317280;4716076166965;BK18002-GR     ;BONE COLLECTION BIKE TIE PRO 2 GREY                                                                           ;BONE COLLECTION               ;00000044.5000;00000089.0000;00000002.0000;00000000.0000;00000000.0000;00000002.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000002.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
317296;4716076167474;PH18502-GR     ;BONE COLLECTION RUN TIE GREY L ARMBAND                                                                        ;BONE COLLECTION               ;00000049.5000;00000099.0000;00000008.0000;00000000.0000;00000000.0000;00000006.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000005.0000;00000000.0000;00000000.0000;00000006.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
317301;4716076167450;PH18501-GR     ;BONE COLLECTION RUN TIE GREY S ARMBAND                                                                        ;BONE COLLECTION               ;00000049.5000;00000099.0000;00000003.0000;00000000.0000;00000000.0000;00000002.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000002.0000;00000000.0000;00000000.0000;00000002.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
317311;4716076168341;PH18101-DEE    ;BONE COLLECTION MR DEER QCASE FOR IPHONE XS                                                                   ;BONE COLLECTION               ;00000034.5000;00000069.0000;00000008.0000;00000000.0000;00000000.0000;00000003.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000004.0000;00000000.0000;00000000.0000;00000003.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
317312;4716076168358;PH18101-DUC    ;BONE COLLECTION PATTI DUCK QCASE FOR IPHONE XS                                                                ;BONE COLLECTION               ;00000034.5000;00000069.0000;00000001.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
317316;4716076168365;PH18101-CAT    ;BONE COLLECTION MIAO CAT QCASE FOR IPHONE XS                                                                  ;BONE COLLECTION               ;00000034.5000;00000069.0000;00000001.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000001.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
317320;4716076167856;PH18080-DEE    ;BONE COLLECTION MR DEER QCASE FOR IPHONE XS MAX                                                               ;BONE COLLECTION               ;00000034.5000;00000069.0000;00000005.0000;00000000.0000;00000000.0000;00000002.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000004.0000;00000000.0000;00000000.0000;00000004.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
317324;4716076167863;PH18080-DUC    ;BONE COLLECTION PATTI DUCK QCASE FOR IPHONE XS MAX                                                            ;BONE COLLECTION               ;00000034.5000;00000069.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
317327;4716076167870;PH18080-CAT    ;BONE COLLECTION MIAO CAT QCASE FOR IPHONE XS MAX                                                              ;BONE COLLECTION               ;00000034.5000;00000069.0000;00000006.0000;00000001.0000;00000069.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000001.0000;00000000.0000;00000000.0000;00000003.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
317333;4716076167924;PH18082-PEN    ;BONE COLLECTION MARU PENGUIN BUBBLE CASE FOR IPHONE XS                                                        ;BONE COLLECTION               ;00000034.5000;00000069.0000;00000005.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
317335;4716076167931;PH18082-DEE    ;BONE COLLECTION MR DEER BUBBLE CASE FOR IPHONE XS                                                             ;BONE COLLECTION               ;00000034.5000;00000069.0000;00000008.0000;00000000.0000;00000000.0000;00000003.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000003.0000;00000000.0000;00000000.0000;00000004.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
317336;4716076167948;PH18082-DUC    ;BONE COLLECTION PATTI DUCK BUBBLE CASE FOR IPHONE XS                                                          ;BONE COLLECTION               ;00000034.5000;00000069.0000;00000007.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
317339;4716076167955;PH18082-CAT    ;BONE COLLECTION MIAO CAT BUBBLE CASE FOR IPHONE XS                                                            ;BONE COLLECTION               ;00000034.5000;00000069.0000;00000003.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000002.0000;00000000.0000;00000000.0000;00000002.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
317343;4716076167979;PH18084-DEE    ;BONE COLLECTION MR DEER BUBBLE CASE FOR IPHONE XS MAX                                                         ;BONE COLLECTION               ;00000034.5000;00000069.0000;00000008.0000;00000000.0000;00000000.0000;00000006.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000006.0000;00000000.0000;00000000.0000;00000005.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
317345;4716076167993;PH18084-CAT    ;BONE COLLECTION MIAO CAT BUBBLE CASE FOR IPHONE XS MAX                                                        ;BONE COLLECTION               ;00000034.5000;00000069.0000;00000006.0000;00000000.0000;00000000.0000;00000002.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000004.0000;00000000.0000;00000000.0000;00000006.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
663479;6953156293014;CAHUB-AZ0G     ;BASEUS SUPERLATIVE MULTIFUNCTIONAL HUB DEEP GREY                                                              ;BASEUS                        ;00000155.0000;00000309.0000;00000005.0000;00000000.0000;00000000.0000;00000004.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000008.0000;00000000.0000;00000000.0000;00000007.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
663480;6953156292314;NGH15-01       ;BASEUS GAMO H15 BLACK 3.5MM WIRED IN-EAR EARPHONES                                                            ;BASEUS                        ;00000054.5000;00000109.0000;00000008.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000008.0000;00000000.0000;00000000.0000;00000007.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
663481;6953156292321;NGH15-91       ;BASEUS GAMO H15 RES/BLACK 3.5MM WIRED IN-EAR EARPHONES                                                        ;BASEUS                        ;00000054.5000;00000109.0000;00000010.0000;00000000.0000;00000000.0000;00000008.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000008.0000;00000000.0000;00000000.0000;00000008.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
663501;6953156293267;NGW01-01       ;BASEUS ENCOK W01 BLACK TRUE WIRELESS IN-EAR EARPHONES                                                         ;BASEUS                        ;00000119.5000;00000239.0000;00000009.0000;00000000.0000;00000000.0000;00000006.0000;00000001.0000;00000239.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000005.0000;00000002.0000;00000478.0000;00000005.0000;00000003.0000;00000717.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
665858;6953156293274;NGW01-02       ;BASEUS ENCOK W01 WHITE TRUE WIRELESS IN-EAR EARPHONES                                                         ;BASEUS                        ;00000119.5000;00000239.0000;00000009.0000;00000001.0000;00000239.0000;00000008.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000007.0000;00000000.0000;00000000.0000;00000008.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
665859;6953156293243;NGA03-01       ;BASEUS ENCOK A03 BLACK WIRELESS IN-EAR EARPHONES                                                              ;BASEUS                        ;00000074.5000;00000149.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
665860;6953156293250;NGA03-02       ;BASEUS ENCOK A03 WHITE WIRELESS IN-EAR EARPHONES                                                              ;BASEUS                        ;00000074.5000;00000149.0000;00000010.0000;00000000.0000;00000000.0000;00000007.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000007.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
665862;6953156294073;WXYDIW02-01    ;BASEUS DOTTER BLACK WIRELESS CHARGER FOR APPLE WATCH                                                          ;BASEUS                        ;00000054.5000;00000109.0000;00000008.0000;00000001.0000;00000109.0000;00000004.0000;00000001.0000;00000109.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000004.0000;00000002.0000;00000218.0000;00000001.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
671807;6953156294080;WXYDIW02-02    ;BASEUS DOTTER WHITE WIRELESS CHARGER FOR APPLE WATCH                                                          ;BASEUS                        ;00000054.5000;00000109.0000;00000002.0000;00000000.0000;00000000.0000;00000003.0000;00000001.0000;00000109.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000007.0000;00000000.0000;00000000.0000;00000004.0000;00000001.0000;00000109.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
671812;6953156292079;PPLG-01        ;BASEUS AMBLIGHT 30000MAH POWER BANK BLACK                                                                     ;BASEUS                        ;00000149.5000;00000299.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000;00000000.0000
