Sku,UPC,Catalogue N,Title,Label,Cost Price,V.S.P.,,301.Quantit,301.Sales Quantity,301.Sales Value,302.Quantit,302.Sales Quantity,302.Sales Value,306.Quantit,306.Sales Quantity,306.Sales Value,307.Quantit,307.Sales Quantity,307.Sales Value,390.Quantit,390.Sales Quantity,390.Sales Value
317277,4.72E+12,BK18002-BK     ,BONE COLLECTION BIKE TIE PRO 2 BLACK                                                                          ,BONE COLLECTION               ,44.5,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317278,4.72E+12,BK18002-R      ,BONE COLLECTION BIKE TIE PRO 2 RED                                                                            ,BONE COLLECTION               ,44.5,89,6,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0
317280,4.72E+12,BK18002-GR     ,BONE COLLECTION BIKE TIE PRO 2 GREY                                                                           ,BONE COLLECTION               ,44.5,89,6,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0
317296,4.72E+12,PH18502-GR     ,BONE COLLECTION RUN TIE GREY L ARMBAND                                                                        ,BONE COLLECTION               ,49.5,99,25,8,0,0,6,0,0,5,0,0,6,0,0,0,0,0
317301,4.72E+12,PH18501-GR     ,BONE COLLECTION RUN TIE GREY S ARMBAND                                                                        ,BONE COLLECTION               ,49.5,99,9,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0
317311,4.72E+12,PH18101-DEE    ,BONE COLLECTION MR DEER QCASE FOR IPHONE XS                                                                   ,BONE COLLECTION               ,34.5,69,18,8,0,0,3,1,69,4,0,0,3,1,69,0,0,0
317312,4.72E+12,PH18101-DUC    ,BONE COLLECTION PATTI DUCK QCASE FOR IPHONE XS                                                                ,BONE COLLECTION               ,34.5,69,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317316,4.72E+12,PH18101-CAT    ,BONE COLLECTION MIAO CAT QCASE FOR IPHONE XS                                                                  ,BONE COLLECTION               ,34.5,69,2,1,2,138,0,0,0,1,0,0,0,0,0,0,0,0
317320,4.72E+12,PH18080-DEE    ,BONE COLLECTION MR DEER QCASE FOR IPHONE XS MAX                                                               ,BONE COLLECTION               ,34.5,69,16,6,0,0,2,0,0,4,0,0,4,0,0,0,0,0
317324,4.72E+12,PH18080-DUC    ,BONE COLLECTION PATTI DUCK QCASE FOR IPHONE XS MAX                                                            ,BONE COLLECTION               ,34.5,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317327,4.72E+12,PH18080-CAT    ,BONE COLLECTION MIAO CAT QCASE FOR IPHONE XS MAX                                                              ,BONE COLLECTION               ,34.5,69,12,8,0,0,0,0,0,1,0,0,3,0,0,0,0,0
317333,4.72E+12,PH18082-PEN    ,BONE COLLECTION MARU PENGUIN BUBBLE CASE FOR IPHONE XS                                                        ,BONE COLLECTION               ,34.5,69,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317335,4.72E+12,PH18082-DEE    ,BONE COLLECTION MR DEER BUBBLE CASE FOR IPHONE XS                                                             ,BONE COLLECTION               ,34.5,69,18,8,0,0,3,0,0,3,0,0,4,0,0,0,0,0
317336,4.72E+12,PH18082-DUC    ,BONE COLLECTION PATTI DUCK BUBBLE CASE FOR IPHONE XS                                                          ,BONE COLLECTION               ,34.5,69,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317339,4.72E+12,PH18082-CAT    ,BONE COLLECTION MIAO CAT BUBBLE CASE FOR IPHONE XS                                                            ,BONE COLLECTION               ,34.5,69,7,3,1,69,0,1,69,2,0,0,2,0,0,0,0,0
317343,4.72E+12,PH18084-DEE    ,BONE COLLECTION MR DEER BUBBLE CASE FOR IPHONE XS MAX                                                         ,BONE COLLECTION               ,34.5,69,25,8,0,0,6,0,0,6,0,0,5,0,0,0,0,0
317345,4.72E+12,PH18084-CAT    ,BONE COLLECTION MIAO CAT BUBBLE CASE FOR IPHONE XS MAX                                                        ,BONE COLLECTION               ,34.5,69,18,6,0,0,2,0,0,4,0,0,6,0,0,0,0,0
663479,6.95E+12,CAHUB-AZ0G     ,BASEUS SUPERLATIVE MULTIFUNCTIONAL HUB DEEP GREY                                                              ,BASEUS                        ,155,309,25,5,0,0,4,0,0,8,0,0,8,0,0,0,0,0
663480,6.95E+12,NGH15-01       ,BASEUS GAMO H15 BLACK 3.5MM WIRED IN-EAR EARPHONES                                                            ,BASEUS                        ,54.5,109,23,8,0,0,0,0,0,8,0,0,7,1,109,0,0,0
663481,6.95E+12,NGH15-91       ,BASEUS GAMO H15 RES/BLACK 3.5MM WIRED IN-EAR EARPHONES                                                        ,BASEUS                        ,54.5,109,34,10,0,0,8,0,0,8,0,0,8,0,0,0,0,0
663501,6.95E+12,NGW01-01       ,BASEUS ENCOK W01 BLACK TRUE WIRELESS IN-EAR EARPHONES                                                         ,BASEUS                        ,119.5,239,34,10,0,0,8,0,0,8,0,0,8,0,0,0,0,0
665858,6.95E+12,NGW01-02       ,BASEUS ENCOK W01 WHITE TRUE WIRELESS IN-EAR EARPHONES                                                         ,BASEUS                        ,119.5,239,34,10,0,0,8,0,0,8,0,0,8,0,0,0,0,0
665859,6.95E+12,NGA03-01       ,BASEUS ENCOK A03 BLACK WIRELESS IN-EAR EARPHONES                                                              ,BASEUS                        ,74.5,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
