PERIODE DU 04/08/19 AU 10/08/19,,,,,,,VILL,,,LMK,,,MOQ,,,DFC,,,VQTR-WH,,,TTL SOLD QTY,TTL SOLD VALUE,SOH
Sku,UPC,Catalogue Nï,Title,Label,Cost Price,V.S.P.,301.Quantit,301.Sales Quantity,301.Sales Value,302.Quantit,302.Sales Quantity,302.Sales Value,306.Quantit,306.Sales Quantity,306.Sales Value,307.Quantit,307.Sales Quantity,307.Sales Value,390.Quantit,390.Sales Quantity,390.Sales Value,,,
317277,4716080000000.00,BK18002-BK     ,BONE COLLECTION BIKE TIE PRO 2 BLACK                                                                          ,BONE COLLECTION               ,44.5,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317278,4716080000000.00,BK18002-R      ,BONE COLLECTION BIKE TIE PRO 2 RED                                                                            ,BONE COLLECTION               ,44.5,89,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,6
317280,4716080000000.00,BK18002-GR     ,BONE COLLECTION BIKE TIE PRO 2 GREY                                                                           ,BONE COLLECTION               ,44.5,89,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,6
317296,4716080000000.00,PH18502-GR     ,BONE COLLECTION RUN TIE GREY L ARMBAND                                                                        ,BONE COLLECTION               ,49.5,99,8,0,0,6,0,0,5,0,0,6,0,0,0,0,0,0,0,25
317301,4716080000000.00,PH18501-GR     ,BONE COLLECTION RUN TIE GREY S ARMBAND                                                                        ,BONE COLLECTION               ,49.5,99,3,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,9
317311,4716080000000.00,PH18101-DEE    ,BONE COLLECTION MR DEER QCASE FOR IPHONE XS                                                                   ,BONE COLLECTION               ,34.5,69,8,0,0,3,0,0,4,0,0,3,0,0,0,0,0,0,0,18
317312,4716080000000.00,PH18101-DUC    ,BONE COLLECTION PATTI DUCK QCASE FOR IPHONE XS                                                                ,BONE COLLECTION               ,34.5,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
317316,4716080000000.00,PH18101-CAT    ,BONE COLLECTION MIAO CAT QCASE FOR IPHONE XS                                                                  ,BONE COLLECTION               ,34.5,69,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
317320,4716080000000.00,PH18080-DEE    ,BONE COLLECTION MR DEER QCASE FOR IPHONE XS MAX                                                               ,BONE COLLECTION               ,34.5,69,5,1,69,2,0,0,4,0,0,4,0,0,0,0,0,1,69,15
317324,4716080000000.00,PH18080-DUC    ,BONE COLLECTION PATTI DUCK QCASE FOR IPHONE XS MAX                                                            ,BONE COLLECTION               ,34.5,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317327,4716080000000.00,PH18080-CAT    ,BONE COLLECTION MIAO CAT QCASE FOR IPHONE XS MAX                                                              ,BONE COLLECTION               ,34.5,69,7,1,69,0,0,0,1,0,0,3,0,0,0,0,0,1,69,11
317333,4716080000000.00,PH18082-PEN    ,BONE COLLECTION MARU PENGUIN BUBBLE CASE FOR IPHONE XS                                                        ,BONE COLLECTION               ,34.5,69,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
317335,4716080000000.00,PH18082-DEE    ,BONE COLLECTION MR DEER BUBBLE CASE FOR IPHONE XS                                                             ,BONE COLLECTION               ,34.5,69,8,0,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0,18
317336,4716080000000.00,PH18082-DUC    ,BONE COLLECTION PATTI DUCK BUBBLE CASE FOR IPHONE XS                                                          ,BONE COLLECTION               ,34.5,69,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
317339,4716080000000.00,PH18082-CAT    ,BONE COLLECTION MIAO CAT BUBBLE CASE FOR IPHONE XS                                                            ,BONE COLLECTION               ,34.5,69,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,7
317343,4716080000000.00,PH18084-DEE    ,BONE COLLECTION MR DEER BUBBLE CASE FOR IPHONE XS MAX                                                         ,BONE COLLECTION               ,34.5,69,8,0,0,6,0,0,6,0,0,5,0,0,0,0,0,0,0,25
317345,4716080000000.00,PH18084-CAT    ,BONE COLLECTION MIAO CAT BUBBLE CASE FOR IPHONE XS MAX                                                        ,BONE COLLECTION               ,34.5,69,6,0,0,2,0,0,4,0,0,6,0,0,0,0,0,0,0,18
