PERIODE DU 24/02/19 AU 02/03/19,,,,,,,VILLAGIO,,,LMK,,,MOQ,,,DHFC,,,TTL Sold Qty,TTL Sold Value,SOH
Sku,UPC,Catalogue Nâ,Title,Label,Cost Price,V.S.P.,301.Quantit,301.Sales Quantity,301.Sales Value,302.Quantit,302.Sales Quantity,302.Sales Value,306.Quantit,306.Sales Quantity,306.Sales Value,307.Quantit,307.Sales Quantity,307.Sales Value,,,
734836,6953156281479.00,WXZN-01        ,BASEUS CAR WIRELESS CHARGER SMART VEHICLE BRACKET                                                             ,BASEUS                        ,74.5,149,4,1,149,3,0,0,3,0,0,4,0,0,1,149,14
734837,6953156282964.00,ACHDCJ-01      ,BASEUS HOLDER RED-DOT MOBILE GAME SCORING TOOL BLACK                                                          ,BASEUS                        ,24.5,49,12,4,196,14,0,0,10,5,245,11,2,98,11,539,47
734838,6953156282971.00,ACHDCJ-02      ,BASEUS HOLDER RED-DOT MOBILE GAME SCORING TOOL TRANSPARENT                                                    ,BASEUS                        ,24.5,49,15,1,49,12,0,0,6,5,245,7,4,196,10,490,40
734867,6953156273887.00,NGW02-01       ,BASEUS ENCOK W02 TWS TRULY WIRELESS HEADSET BLACK                                                             ,BASEUS                        ,109.5,219,7,0,0,6,0,0,6,0,0,5,0,0,0,0,24
734868,6953156273894.00,NGW02-02       ,BASEUS ENCOK W02 TWS TRULY WIRELESS HEADSET WHITE                                                             ,BASEUS                        ,109.5,219,5,0,0,4,0,0,4,0,0,2,0,0,0,0,15
734881,6953156280243.00,WX2IN1-02      ,BASEUS SMART 2 IN 1 WIRELESS CHARGER WHITE                                                                    ,BASEUS                        ,89.5,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734882,6953156278844.00,PPALL-AKU01    ,BASEUS MINI CU DIGITAL DISPLAY POWER BANK 10000MAH BLACK                                                      ,BASEUS                        ,69.5,139,5,0,0,1,1,139,4,0,0,3,0,0,1,139,13
734895,6953156276413.00,CCALL-RH01     ,BASEUS LOCOMOTIVE BLUETOOTH MP3 VEHICLE CHARGER BLACK                                                         ,BASEUS                        ,49.5,99,5,0,0,0,1,99,2,1,99,0,2,198,4,396,7
734899,6953156273030.00,ACCHZ-01       ,BASEUS ROTATION TYPE UNIVERSAL CHARGER BLACK                                                                  ,BASEUS                        ,54.5,109,9,1,109,6,0,0,6,0,0,6,0,0,1,109,27
734904,6953156278622.00,CAHUB-D0G      ,BASEUS CUBE TYPE-C TO USB3.0X3+USB2.0X2 HUB ADAPTER DARK GRAY                                                 ,BASEUS                        ,64.5,129,5,0,0,4,0,0,4,0,0,2,1,129,1,129,15
734907,6953156255814.00,SUGENT-ATR01   ,BASEUS CURVE MAGNET CAR MOUNT                                                                                 ,BASEUS                        ,24.5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
