Sku,UPC,Catalogue N,Title,Label,Cost Price,V.S.P.,401 Co,401.VMS cost,401.V.S.P.,401.AVG. WEEK,402 Co,402.VMS cost,402.V.S.P.,402.AVG. WEEK,404 Co,404.VMS cost,404.V.S.P.,404.AVG. WEEK,405 Co,405.VMS cost,405.V.S.P.,405.AVG. WEEK,412 Co,412.VMS cost,412.V.S.P.,412.AVG. WEEK,416 Co,416.VMS cost,416.V.S.P.,416.AVG. WEEK,417 Co,417.VMS cost,417.V.S.P.,417.AVG. WEEK,423 Co,423.VMS cost,423.V.S.P.,423.AVG. WEEK,424 Co,424.VMS cost,424.V.S.P.,424.AVG. WEEK,425 Co,425.VMS cost,425.V.S.P.,425.AVG. WEEK,426 Co,426.VMS cost,426.V.S.P.,426.AVG. WEEK,429 Co,429.VMS cost,429.V.S.P.,429.AVG. WEEK,444 Co,444.VMS cost,444.V.S.P.,444.AVG. WEEK,490 Co,490.VMS cost,490.V.S.P.,490.AVG. WEEK,Latest SOH,total sale of Goods,Status
734835,6950000000000.0,SUGENT-ZN01    ,BASEUS SMART CAR MOUNT CELL PHONE HOLDER BLACK                                                                ,BASEUS                        ,69.5,149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,99.0,49.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,198.0,99.0,0.4,1.0,99.0,49.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,4.0,Fast moving
734836,6950000000000.0,WXZN-01        ,BASEUS CAR WIRELESS CHARGER SMART VEHICLE BRACKET                                                             ,BASEUS                        ,69.5,149,0.0,0.0,0.0,0.0,2.0,298.0,139.0,0.4,0.0,0.0,0.0,0.0,1.0,149.0,69.5,0.2,1.0,149.0,69.5,0.2,1.0,149.0,69.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,149.0,69.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,6.0,Fast moving
734837,6950000000000.0,ACHDCJ-01      ,BASEUS HOLDER RED-DOT MOBILE GAME SCORING TOOL BLACK                                                          ,BASEUS                        ,24.5,49,5.0,245.0,122.5,1.0,10.0,490.0,245.0,2.0,8.0,392.0,196.0,1.6,6.0,294.0,147.0,1.2,1.0,49.0,24.5,0.2,20.0,980.0,490.0,4.0,5.0,245.0,122.5,1.0,0.0,0.0,0.0,0.0,16.0,784.0,392.0,3.2,4.0,196.0,98.0,0.8,5.0,245.0,122.5,1.0,2.0,98.0,49.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,82.0,Fast moving
734838,6950000000000.0,ACHDCJ-02      ,BASEUS HOLDER RED-DOT MOBILE GAME SCORING TOOL TRANSPARENT                                                    ,BASEUS                        ,24.5,49,6.0,294.0,147.0,1.2,5.0,245.0,122.5,1.0,2.0,98.0,49.0,0.4,13.0,637.0,318.5,2.6,4.0,196.0,98.0,0.8,17.0,833.0,416.5,3.4,5.0,245.0,122.5,1.0,0.0,0.0,0.0,0.0,11.0,539.0,269.5,2.2,2.0,98.0,49.0,0.4,2.0,98.0,49.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,67.0,Fast moving
734839,6950000000000.0,WXHSD-D01      ,BASEUS WIRELESS CHARGER POWER BANK 10000MAH BLACK                                                             ,BASEUS                        ,129.5,269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Run out of stock
734840,6950000000000.0,WXHSD-D02      ,BASEUS WIRELESS CHARGER POWER BANK 10000MAH WHITE                                                             ,BASEUS                        ,129.5,269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Run out of stock
734841,6950000000000.0,SUBR-A01       ,BASEUS BEAR MAGNETIC CAR BRACKET BLACK                                                                        ,BASEUS                        ,29.5,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Run out of stock
734843,6950000000000.0,SUBR-A08       ,BASEUS BEAR MAGNETIC CAR BRACKET BROWN                                                                        ,BASEUS                        ,29.5,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Run out of stock
734845,6950000000000.0,SUBR-A09       ,BASEUS BEAR MAGNETIC CAR BRACKET RED                                                                          ,BASEUS                        ,29.5,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Run out of stock
734848,6950000000000.0,SUBR-ASG       ,BASEUS BEAR MAGNETIC CAR BRACKET SILVER GRAY                                                                  ,BASEUS                        ,29.5,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Run out of stock
734864,6950000000000.0,ACBZ-AP09      ,BASEUS AP PENCIL SILICONE CHARGING STAND FOR APPLE PENCIL RED                                                 ,BASEUS                        ,24.5,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,Non moving
734865,6950000000000.0,ACBZ-AP01      ,BASEUS AP PENCIL SILICONE CHARGING STAND FOR APPLE PENCIL BLACK                                               ,BASEUS                        ,24.5,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,19.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1.0,Slow moving
734866,6950000000000.0,ACBZ-AP0G      ,BASEUS AP PENCIL SILICONE CHARGING STAND FOR APPLE PENCIL GREY                                                ,BASEUS                        ,24.5,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,19.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1.0,Slow moving
734867,6950000000000.0,NGW02-01       ,BASEUS ENCOK W02 TWS TRULY WIRELESS HEADSET BLACK                                                             ,BASEUS                        ,104.5,219,0.0,0.0,0.0,0.0,1.0,219.0,104.5,0.2,0.0,0.0,0.0,0.0,2.0,438.0,209.0,0.4,0.0,0.0,0.0,0.0,3.0,657.0,313.5,0.6,1.0,219.0,104.5,0.2,1.0,219.0,104.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,438.0,209.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,10.0,Fast moving
734868,6950000000000.0,NGW02-02       ,BASEUS ENCOK W02 TWS TRULY WIRELESS HEADSET WHITE                                                             ,BASEUS                        ,104.5,219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,219.0,104.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,219.0,104.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,219.0,104.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,3.0,Fast moving
734869,6950000000000.0,NGS16-09       ,BASEUS ENCOK NECK HUNG BLUETOOTH EARPHONES S16 RED                                                            ,BASEUS                        ,99.5,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,Non moving
734870,6950000000000.0,NGS16-06       ,BASEUS ENCOK NECK HUNG BLUETOOTH EARPHONES S16 GREEN                                                          ,BASEUS                        ,99.5,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,Non moving
734871,6950000000000.0,WXJS-A1        ,BASEUS METAL WIRELESS CHARGER TARNISH/BLACK                                                                   ,BASEUS                        ,79.5,169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,Non moving
734872,6950000000000.0,WXJS-S2        ,BASEUS METAL WIRELESS CHARGER SILVER/WHITE                                                                    ,BASEUS                        ,79.5,169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,119.0,59.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0,Slow moving
734873,6950000000000.0,WXBV-01        ,BASEUS BV WIRELESS CHARGER BLACK                                                                              ,BASEUS                        ,44.5,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69.0,34.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69.0,34.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2.0,Slow moving
734874,6950000000000.0,WXBV-02        ,BASEUS BV WIRELESS CHARGER WHITE                                                                              ,BASEUS                        ,44.5,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,Non moving
734875,6950000000000.0,WXBV-03        ,BASEUS BV WIRELESS CHARGER BLUE                                                                               ,BASEUS                        ,44.5,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Run out of stock
734876,6950000000000.0,CCALL-JK01     ,BASEUS SIMPLE WIRELESS CHARGER BLACK                                                                          ,BASEUS                        ,54.5,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,99.0,49.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,Slow moving
734877,6950000000000.0,CCALL-JK02     ,BASEUS SIMPLE WIRELESS CHARGER WHITE                                                                          ,BASEUS                        ,54.5,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,297.0,148.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3.0,Fast moving
734878,6950000000000.0,CCALL-AJK01    ,BASEUS SIMPLE WIRELESS CHARGER TRANSPARENT                                                                    ,BASEUS                        ,54.5,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,119.0,54.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1.0,Slow moving
734879,6950000000000.0,WXXHJ-B01      ,BASEUS DUAL WIRELESS CHARGER BLACK +WALL CHARGER & CABLE                                                      ,BASEUS                        ,139.5,289,0.0,0.0,0.0,0.0,2.0,398.0,189.0,0.4,0.0,0.0,0.0,0.0,1.0,199.0,94.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,398.0,189.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,5.0,Fast moving
734880,6950000000000.0,WXXHJ-B0S      ,BASEUS DUAL WIRELESS CHARGER SILVER +WALL CHARGER & CABLE                                                     ,BASEUS                        ,139.5,289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-199.0,-94.5,-0.2,1.0,199.0,94.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,Non moving
734881,6950000000000.0,WX2IN1-02      ,BASEUS SMART 2 IN 1 WIRELESS CHARGER WHITE                                                                    ,BASEUS                        ,84.5,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1790.0,845.0,2.0,1.0,179.0,84.5,0.2,9.0,1611.0,760.5,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-179.0,-84.5,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,19.0,Fast moving
734882,6950000000000.0,PPALL-AKU01    ,BASEUS MINI CU DIGITAL DISPLAY POWER BANK 10000MAH BLACK                                                      ,BASEUS                        ,64.5,139,0.0,0.0,0.0,0.0,1.0,139.0,64.5,0.2,0.0,0.0,0.0,0.0,1.0,139.0,64.5,0.2,0.0,0.0,0.0,0.0,2.0,278.0,129.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,4.0,Fast moving
