24/11/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sku,401.Quantit,401.Sales Quantity,401.Sales Value,402.Quantit,402.Sales Quantity,402.Sales Value,404.Quantit,404.Sales Quantity,404.Sales Value,405.Quantit,405.Sales Quantity,405.Sales Value,412.Quantit,412.Sales Quantity,412.Sales Value,416.Quantit,416.Sales Quantity,416.Sales Value,417.Quantit,417.Sales Quantity,417.Sales Value,423.Quantit,423.Sales Quantity,423.Sales Value,424.Quantit,424.Sales Quantity,424.Sales Value,425.Quantit,425.Sales Quantity,425.Sales Value,426.Quantit,426.Sales Quantity,426.Sales Value,429.Quantit,429.Sales Quantity,429.Sales Value,444.Quantit,444.Sales Quantity,444.Sales Value,490.Quantit,490.Sales Quantity,490.Sales Value,TTL Sold Qty,TTL Value,SOH
734835,4,0,0,2,0,0,4,0,0,5,0,0,4,0,0,6,0,0,3,0,0,4,0,0,5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,40
734836,2,0,0,6,1,149,2,1,149,3,1,149,5,0,0,2,0,0,2,0,0,3,0,0,7,1,149,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,596,35
734837,14,2,98,14,0,0,6,2,98,47,0,0,6,2,98,61,2,98,15,0,0,8,0,0,20,4,196,6,0,0,4,0,0,4,0,0,0,0,0,0,0,0,12,588,205
734838,11,0,0,8,0,0,9,0,0,25,0,0,4,1,49,38,2,98,6,4,196,10,0,0,18,5,245,6,0,0,3,1,49,4,0,0,0,0,0,0,0,0,13,637,142
734839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734864,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,6,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
734865,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,8,1,49,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,27
734866,0,0,0,0,0,0,0,0,0,4,1,49,4,0,0,8,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,25
734867,2,0,0,1,1,219,2,0,0,7,0,0,3,0,0,1,1,219,3,0,0,3,0,0,6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,438,31
