Sku,UPC,Catalogue N,Label,Arq COST,Cost Price,V.S.P.,Latest SOH,02-2019: QTY SOLD,02-2019: QTY SOLD Arqoob Cost,02-2019: QTY SOLD QTY SOLD VALUE,03-2019: QTY SOLD,03-2019: QTY SOLD Arqoob Cost,03-2019: QTY SOLD QTY SOLD VALUE,04-2019: QTY SOLD,04-2019: QTY SOLD Arqoob Cost,04-2019: QTY SOLD QTY SOLD VALUE,05-2019: QTY SOLD,05-2019: QTY SOLD Arqoob Cost,05-2019: QTY SOLD QTY SOLD VALUE,06-2019: QTY SOLD,06-2019: QTY SOLD Arqoob Cost,06-2019: QTY SOLD QTY SOLD VALUE,07-2019: QTY SOLD,07-2019: QTY SOLD Arqoob Cost,07-2019: QTY SOLD QTY SOLD VALUE,08-2019: QTY SOLD,08-2019: QTY SOLD Arqoob Cost,08-2019: QTY SOLD QTY SOLD VALUE,09-2019: QTY SOLD,09-2019: QTY SOLD Arqoob Cost,09-2019: QTY SOLD QTY SOLD VALUE,Total Qty Sold,Total Arqoob Cost,Total Arqhoob Price,Qty Avg Day,Qty Avg Month,Value Avg Month,Qty Stock Value,Days Stock in Hand,Current stock cover upto (Week),Current stock cover upto (Month),Current stock cover upto (Date)
758235,6953156289758.0,SGAPIPH58-WC01 ,BASEUS                        ,15.69,50.0,99,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.69,50.0,1.0,15.69,50.0,0.0,0.12,6.25,450.0,0.0,inf,inf,
758236,6953156289819.0,SGAPIPH65-WC01 ,BASEUS                        ,16.0,50.0,99,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,50.0,1.0,16.0,50.0,0.0,0.12,6.25,550.0,0.0,inf,inf,
762679,6953156286962.0,CATYW-B01      ,BASEUS                        ,14.39,45.0,89,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.78,90.0,0.0,0.0,0.0,1.0,14.39,45.0,0.0,0.0,0.0,3.0,43.17,135.0,0.01,0.38,16.88,1035.0,2300.0,329.0,77.0,2026-01-08
762680,6953156286986.0,CATYW-B09      ,BASEUS                        ,14.39,45.0,89,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.39,45.0,1.0,14.39,45.0,1.0,14.39,45.0,0.0,0.0,0.0,3.0,43.17,135.0,0.01,0.38,16.88,1035.0,2300.0,329.0,77.0,2026-01-08
762682,6953156284746.0,CATSR-09       ,BASEUS                        ,8.43,35.0,69,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.43,35.0,1.0,8.43,35.0,2.0,16.86,70.0,0.0,0.0,0.0,4.0,33.72,140.0,0.02,0.5,17.5,770.0,1100.0,157.0,37.0,2022-09-26
762683,7447902861064.0,BCC-36W        ,BASEUS                        ,13.44,50.0,99,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.44,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.44,50.0,0.0,0.12,6.25,1250.0,0.0,inf,inf,
317296,4716076167474.0,PH18502-GR     ,BONE COLLECTION               ,28.95,49.5,99,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.95,49.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.95,49.5,0.0,0.12,6.19,1237.5,0.0,inf,inf,
317301,4716076167450.0,PH18501-GR     ,BONE COLLECTION               ,28.95,49.5,99,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.95,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.95,49.5,0.0,0.12,6.19,445.5,0.0,inf,inf,
317311,4716076168341.0,PH18101-DEE    ,BONE COLLECTION               ,22.39,34.5,69,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,44.78,69.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,44.78,69.0,0.01,0.25,8.62,621.0,1800.0,257.0,60.0,2024-08-26
317333,4716076167924.0,PH18082-PEN    ,BONE COLLECTION               ,22.39,34.5,69,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.5,0.0,inf,inf,
