,Sku,UPC,Catalogue N,Title,Label,Arq COST,Cost Price,V.S.P.,Non Moving Action,Reordering
38,734864,6953156278554,ACBZ-AP09      ,BASEUS AP PENCIL SILICONE CHARGING STAND FOR APPLE PENCIL RED                                                 ,BASEUS                        ,9.37,19.5,39,Buying Price,-
39,734865,6953156278547,ACBZ-AP01      ,BASEUS AP PENCIL SILICONE CHARGING STAND FOR APPLE PENCIL BLACK                                               ,BASEUS                        ,9.37,19.5,39,Buying Price,-
42,734868,6953156273894,NGW02-02       ,BASEUS ENCOK W02 TWS TRULY WIRELESS HEADSET WHITE                                                             ,BASEUS                        ,53.97,104.5,219,Buying Price,-
51,734877,6953156272972,CCALL-JK02     ,BASEUS SIMPLE WIRELESS CHARGER WHITE                                                                          ,BASEUS                        ,25.65,49.5,99,Buying Price,-
54,734880,6953156276406,WXXHJ-B0S      ,BASEUS DUAL WIRELESS CHARGER SILVER +WALL CHARGER & CABLE                                                     ,BASEUS                        ,76.08,94.5,199,-,-
59,734885,6953156273023,PPALL-EX09     ,BASEUS DUAL OUTPUT WIRELESS CHARGE POWER BANK 8000MAH RED                                                     ,BASEUS                        ,43.13447761,79.5,169,Buying Price,-
66,734892,6953156275188,PPALL-QY01     ,BASEUS THIN WIRELESS CHARGE 10000MAH POWER BANK BLACK                                                         ,BASEUS                        ,50.97,109.5,229,-,-
68,734894,6953156275201,PPALL-QY04     ,BASEUS THIN WIRELESS CHARGE 10000MAH POWER BANK PINK                                                          ,BASEUS                        ,49.81,109.5,229,-,-
69,734895,6953156276413,CCALL-RH01     ,BASEUS LOCOMOTIVE BLUETOOTH MP3 VEHICLE CHARGER BLACK                                                         ,BASEUS                        ,24.73,44.5,99,-,-
72,734898,6953156278745,CCALL-TM12     ,BASEUS T TYPED BLUETOOTH MP3 CHARGER WITH CAR HOLDER DARK COFFEE                                              ,BASEUS                        ,22.86,39.5,79,-,-
76,734902,6953156267503,ACAPIPH-EA9    ,BASEUS RED-HAT TYPE-C 32GB USB FLASH DISK                                                                     ,BASEUS                        ,47.3,74.5,159,-,-
77,734903,6953156276420,CAHUB-B0G      ,BASEUS THUNDERBOLT C+ DUAL TYPE-C TO USB3.0/HDMI/TYPE-C FEMALE HUB CONVERTER DEEP SPACE GRAY                  ,BASEUS                        ,79.89,124.5,259,-,-
83,734910,6953156253049,SUER-A0R       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE GOLD                                                 ,BASEUS                        ,11.11,24.5,49,Buying Price,-
84,734911,6953156253032,SUER-A0S       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE SILVER                                               ,BASEUS                        ,12.05,24.5,49,-,-
91,734918,6953156276468,SUJX-01        ,BASEUS GOLD AROMATIZING AIR VENT CAR MOUNT                                                                    ,BASEUS                        ,22.0,34.5,69,Buying Price,-
