Sku,UPC,Catalogue N,Title,Label,Arq COST,Cost Price,V.S.P.,Latest SOH,01-2019 total sale of Goods,02-2019 total sale of Goods,03-2019 total sale of Goods,04-2019 total sale of Goods,05-2019 total sale of Goods,06-2019 total sale of Goods,07-2019 total sale of Goods,08-2019 total sale of Goods,09-2019 total sale of Goods,Existence on Shop,3 months avrage sale,Stock Status,profit,Profit status,Final Status,Non Moving Action,Reordering
743968,6.95316E+12,SUCJG9-02      ,BASEUS G9 MOBILE GAME SCORING TOOL WHITE FOR SMARTPHONES/TABLET                                               ,BASEUS                        ,5.26,24.5,49,21,36,12,14,16,23,31,21,5,2,Min 3 months,9.33,Fast moving,179.5092,Profitable,Fast moving - Profitable,-,-
743975,6.95316E+12,SUCJG9-01      ,BASEUS G9 MOBILE GAME SCORING TOOL BLACK FOR SMARTPHONES/TABLET                                               ,BASEUS                        ,5.26,24.5,49,3,38,20,12,10,7,3,4,4,0,Min 3 months,2.67,Slow moving,51.3708,Profitable,Slow moving - Profitable,-,-
734837,6.95316E+12,ACHDCJ-01      ,BASEUS HOLDER RED-DOT MOBILE GAME SCORING TOOL BLACK                                                          ,BASEUS                        ,5.26,24.5,49,18,82,36,40,32,33,25,9,20,1,Min 3 months,10,Fast moving,192.4,Profitable,Fast moving - Profitable,-,-
734838,6.95316E+12,ACHDCJ-02      ,BASEUS HOLDER RED-DOT MOBILE GAME SCORING TOOL TRANSPARENT                                                    ,BASEUS                        ,5.39,24.5,49,8,67,37,33,37,36,15,21,18,4,Min 3 months,14.33,Fast moving,273.8463,Most profitable,Fast moving - Most profitable,-,Profitable - Reorder
766141,6.95316E+12,WIAPIPH58-QA01 ,BASEUS TRANSPARENT KEY PHONE CASE BLACK FOR IPHONE XS                                                         ,BASEUS                        ,6.6,30,59,29,0,0,0,0,0,0,8,8,4,Min 3 months,6.67,Fast moving,156.078,Profitable,Fast moving - Profitable,-,-
766142,6.95316E+12,WIAPIPH58-QA02 ,BASEUS TRANSPARENT KEY PHONE CASE TRANSPARENT FOR IPHONE XS                                                   ,BASEUS                        ,6.6,30,59,42,0,0,0,0,0,0,7,3,1,Min 3 months,3.67,Slow moving,85.878,Profitable,Slow moving - Profitable,-,-
743966,6.95316E+12,CATKC-A01      ,BASEUS DOUBLE FAST CHARGING TYPE-C CABLE 1M BLACK                                                             ,BASEUS                        ,7.27,29.5,59,3,1,3,11,3,11,7,8,9,3,0 month,6.67,Fast moving,148.2741,Profitable,Fast moving - Profitable,-,-
744168,6.95316E+12,CATKC-A09      ,BASEUS DOUBLE FAST CHARGING TYPE-C CABLE 1M RED                                                               ,BASEUS                        ,7.27,29.5,59,8,10,3,5,1,4,7,3,2,0,Min 3 months,1.67,Slow moving,37.1241,Profitable,Slow moving - Profitable,-,-
735670,6.95316E+12,SGAPIPHX-RA01  ,BASEUS DROP-PROOF CURVED FULL SCREEN TEMPERED GLASS BLACK FOR IPHONE X                                        ,BASEUS                        ,7.44,19.5,39,1,4,12,26,16,3,2,1,1,0,0 month,0.67,Non moving,8.0802,Less profitable,Non moving - Less profitable,-,-
734942,6.95316E+12,TZARGS-09      ,BASEUS CASE FOR AIRPODS RED                                                                                   ,BASEUS                        ,7.461149425,24.5,49,2,9,2,3,7,1,1,0,0,0,0 month,0,Non moving,0,Run out of stock,Non moving - Run out of stock,-,-
734943,6.95316E+12,TZARGS-01      ,BASEUS CASE FOR AIRPODS BLACK                                                                                 ,BASEUS                        ,7.61,24.5,49,2,14,15,11,11,6,1,1,0,0,0 month,0.33,Non moving,5.5737,Less profitable,Non moving - Less profitable,-,-
734944,6.95316E+12,TZARGS-G2      ,BASEUS CASE FOR AIRPODS GRAY                                                                                  ,BASEUS                        ,7.61,24.5,49,1,11,3,6,3,2,0,1,0,0,Min 3 months,0.33,Non moving,5.5737,Less profitable,Non moving - Less profitable,Buying Price,-
758121,6.95316E+12,SUWNT-01       ,BASEUS FOLDING UNIVERSAL STICKER BLACK                                                                        ,BASEUS                        ,7.61,29.5,62,7,0,0,0,0,2,1,1,4,1,Min 3 months,2,Slow moving,43.78,Profitable,Slow moving - Profitable,-,-
758124,6.95316E+12,SUWNT-02       ,BASEUS FOLDING UNIVERSAL STICKER TRANSPARENT                                                                  ,BASEUS                        ,7.61,29.5,62,9,0,0,0,1,12,14,6,0,0,Min 3 months,2,Slow moving,43.78,Profitable,Slow moving - Profitable,-,-
734971,6.95316E+12,WIAPIPH65-BE01 ,BASEUS BEAR SILICONE CASE BLACK FOR IPHONE XS MAX                                                             ,BASEUS                        ,7.62,24.5,49,0,0,0,0,0,0,0,0,0,0,0 month,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734973,6.95316E+12,WIAPIPH65-BE04 ,BASEUS BEAR SILICONE CASE PINK FOR IPHONE XS MAX                                                              ,BASEUS                        ,7.62,24.5,49,0,0,0,0,0,0,0,0,0,0,2 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734975,6.95316E+12,WIAPIPH65-BE08 ,BASEUS BEAR SILICONE CASE BROWN FOR IPHONE XS MAX                                                             ,BASEUS                        ,7.71,24.5,49,0,0,0,0,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734931,6.95316E+12,WIAPIPH58-BE01 ,BASEUS BEAR SILICONE CASE BLACK FOR IPHONE XS                                                                 ,BASEUS                        ,7.84,24.5,49,0,0,0,0,0,0,0,0,0,0,0 month,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734968,6.95316E+12,WIAPIPH61-BE04 ,BASEUS BEAR SILICONE CASE PINK FOR IPHONE XR                                                                  ,BASEUS                        ,7.84,24.5,49,0,0,0,0,0,0,0,0,0,0,0 month,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734933,6.95316E+12,WIAPIPH58-BE04 ,BASEUS BEAR SILICONE CASE PINK FOR IPHONE XS                                                                  ,BASEUS                        ,7.84,24.5,49,0,0,0,0,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734934,6.95316E+12,WIAPIPH58-BE08 ,BASEUS BEAR SILICONE CASE BROWN FOR IPHONE XS                                                                 ,BASEUS                        ,7.84,24.5,49,0,0,0,0,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734966,6.95316E+12,WIAPIPH61-BE01 ,BASEUS BEAR SILICONE CASE BLACK FOR IPHONE XR                                                                 ,BASEUS                        ,7.84,24.5,49,0,0,0,0,0,0,0,0,0,0,0 month,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734970,6.95316E+12,WIAPIPH61-BE08 ,BASEUS BEAR SILICONE CASE BROWN FOR IPHONE XR                                                                 ,BASEUS                        ,7.84,24.5,49,0,0,0,0,0,0,0,0,0,0,0 month,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
762681,6.95316E+12,CATSR-01       ,BASEUS FISH-EYE SPRING TYPE-C 2A CABLE 1M BLACK                                                               ,BASEUS                        ,8.43,30,59,9,0,0,0,0,5,5,4,6,1,Min 3 months,3.67,Slow moving,79.1619,Profitable,Slow moving - Profitable,-,-
762682,6.95316E+12,CATSR-09       ,BASEUS FISH-EYE SPRING TYPE-C 2A CABLE 1M RED                                                                 ,BASEUS                        ,8.43,30,59,8,0,0,0,0,2,6,10,0,1,Min 3 months,3.67,Slow moving,79.1619,Profitable,Slow moving - Profitable,-,-
742248,6.95316E+12,ACSLCJ-01      ,BASEUS GRENADE BLACK GRIP FOR SMARTPHONES                                                                     ,BASEUS                        ,9.313366215,24.5,49,25,55,26,36,39,44,52,51,32,1,Min 3 months,28,Fast moving,425.225746,Most profitable,Fast moving - Most profitable,-,Profitable - Reorder
734865,6.95316E+12,ACBZ-AP01      ,BASEUS AP PENCIL SILICONE CHARGING STAND FOR APPLE PENCIL BLACK                                               ,BASEUS                        ,9.37,19.5,39,3,1,0,1,0,1,0,0,0,0,Min 3 months,0,Non moving,0,Run out of stock,Non moving - Run out of stock,Buying Price,-
734866,6.95316E+12,ACBZ-AP0G      ,BASEUS AP PENCIL SILICONE CHARGING STAND FOR APPLE PENCIL GREY                                                ,BASEUS                        ,9.37,19.5,39,0,1,1,0,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734864,6.95316E+12,ACBZ-AP09      ,BASEUS AP PENCIL SILICONE CHARGING STAND FOR APPLE PENCIL RED                                                 ,BASEUS                        ,9.37,19.5,39,3,0,0,1,1,0,0,0,0,0,Min 3 months,0,Non moving,0,Run out of stock,Non moving - Run out of stock,Buying Price,-
751056,6.95316E+12,ACPBCJ-01      ,BASEUS SHOOTING GAME TOOL FOR PAD BLACK                                                                       ,BASEUS                        ,9.51,34.5,69,11,0,12,24,9,20,21,6,7,1,0 month,4.67,Slow moving,116.7033,Profitable,Slow moving - Profitable,-,-
738078,6.95316E+12,ACSLCJ-06      ,BASEUS GRENADE BLACK/ARMY GREEN GRIP FOR SMARTPHONES                                                          ,BASEUS                        ,9.51,24.5,49,14,89,35,30,29,31,38,25,18,1,0 month,14.67,Fast moving,219.9033,Most profitable,Fast moving - Most profitable,-,Profitable - Reorder
751059,6.95316E+12,ACPBCJ-02      ,BASEUS SHOOTING GAME TOOL FOR PAD TRANSPARENT                                                                 ,BASEUS                        ,9.51,34.5,69,7,0,10,25,22,19,13,11,12,2,0 month,8.33,Fast moving,208.1667,Profitable,Fast moving - Profitable,-,-
758126,6.95316E+12,CATL45-01      ,BASEUS AUDIO CONVERTER CATL45                                                                                 ,BASEUS                        ,9.66,29.5,62,9,0,0,0,2,13,8,8,6,1,0 month,5,Slow moving,99.2,Profitable,Slow moving - Profitable,-,-
758233,6.95316E+12,SGAPIPH58-WA01 ,BASEUS FULL-SCREEN CURVED TEMPERED GLASS SCREEN PROTECTOR BLACK FOR IPHONE XS/X                               ,BASEUS                        ,9.66,40,83,6,0,0,0,0,10,23,26,12,0,0 month,12.67,Fast moving,384.4078,Most profitable,Fast moving - Most profitable,-,Profitable - Reorder
758127,6.95316E+12,CATL41-01      ,BASEUS TYPE-C TO 3.5MM AUDIO CHARGING ADAPTER BLACK                                                           ,BASEUS                        ,9.9,29.5,62,0,0,0,0,0,0,0,0,0,0,0 month,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734915,6.95316E+12,SUCH-02        ,BASEUS XIAOCHUN MAGNETIC CAR PHONE HOLDER SILVER                                                              ,BASEUS                        ,10.2,24.5,49,0,1,0,0,0,0,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
734914,6.95316E+12,SUCH-01        ,BASEUS XIAOCHUN MAGNETIC CAR PHONE HOLDER BLACK                                                               ,BASEUS                        ,10.26,19.5,39,0,1,0,2,0,1,0,0,0,0,Min 3 months,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
758234,6.95316E+12,SGAPIPH65-WA01 ,BASEUS FULL-SCREEN CURVED TEMPERED GLASS SCREEN PROTECTOR BLACK FOR IPHONE XS MAX                             ,BASEUS                        ,10.26,40,83,6,0,0,0,0,2,14,7,0,0,0 month,2.33,Slow moving,69.2942,Profitable,Slow moving - Profitable,-,-
734907,6.95316E+12,SUGENT-ATR01   ,BASEUS CURVE MAGNET CAR MOUNT                                                                                 ,BASEUS                        ,11,24.5,49,0,0,0,2,0,0,0,0,0,0,0 month,0,Run out of stock,0,Run out of stock,Run out of stock - Run out of stock,-,-
