Sku,UPC,Catalogue N,Title,Label,Arq COST,Cost Price,V.S.P.,Latest SOH,02-2019 total sale of Goods,03-2019 total sale of Goods,04-2019 total sale of Goods,05-2019 total sale of Goods,06-2019 total sale of Goods,07-2019 total sale of Goods,08-2019 total sale of Goods,09-2019 total sale of Goods,Existence on Shop,3 months avrage sale,Stock Status,profit,Profit status,Final Status,Non Moving Action,Reordering
734899,6953156273030.0,ACCHZ-01       ,BASEUS ROTATION TYPE UNIVERSAL CHARGER BLACK                                                                  ,BASEUS                        ,25.36000000000001,54.5,109,3.0,1.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,Min 3 months,0.33,Non moving,9.616199999999996,Less profitable,Non moving - Less profitable,Buying Price,-
734911,6953156253032.0,SUER-A0S       ,BASEUS SMALL EARS MAGNETIC CAR VENT SUCTION BRACKET ROSE SILVER                                               ,BASEUS                        ,12.049999999999995,24.5,49,7.0,4.0,5.0,9.0,4.0,1.0,1.0,1.0,0.0,Min 3 months,0.67,Non moving,8.341500000000002,Less profitable,Non moving - Less profitable,Buying Price,-
734941,6953156281691.0,WXXP-01        ,BASEUS WIRELESS CHARGER SUCTION CUP BLACK                                                                     ,BASEUS                        ,22.190000000000005,44.5,89,1.0,2.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,Min 3 months,0.67,Non moving,14.947699999999998,Less profitable,Non moving - Less profitable,Buying Price,-
742292,6953156279650.0,SGAPIPD-CX02   ,BASEUS 0.3MM TEMPERED GLASS FILM TRANSPARENT FOR IPAD PRO 11-INCH                                             ,BASEUS                        ,14.434906542056074,39.5,79,4.0,8.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0 month,0.0,Non moving,0.0,Run out of stock,Non moving - Run out of stock,-,-
742293,6953156279667.0,SGAPIPD-DX02   ,BASEUS 0.3MM ANTI-BLUE LIGHT TEMPERED GLASS FILM TRANSPARENT FOR IPAD PRO 11-INCH                             ,BASEUS                        ,16.32,49.5,99,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,Min 3 months,0.33,Non moving,10.9494,Less profitable,Non moving - Less profitable,Buying Price,-
742294,6953156282100.0,LTAPIPD-ASM03  ,BASEUS SIMPLISM Y-TYPE LEATHER CASE BLUE FOR IPAD PRO 11-INCH                                                 ,BASEUS                        ,38.140000000000015,79.5,159,10.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,Min 3 months,0.33,Non moving,13.648799999999996,Less profitable,Non moving - Less profitable,Buying Price,-
743955,6953156284821.0,WIAPIPH58-ASL03,BASEUS ORIGINAL LSR CASE LIGHT AQUA MARINE FOR IPHONE XS                                                      ,BASEUS                        ,12.379999999999995,34.5,69,5.0,1.0,2.0,4.0,4.0,7.0,0.0,0.0,0.0,Min 3 months,0.0,Non moving,0.0,Run out of stock,Non moving - Run out of stock,Buying Price,-
758235,6953156289758.0,SGAPIPH58-WC01 ,BASEUS FULL-SCREEN CURVED PRIVACY TEMPERED GLASS SCREEN PROTECTOR BLACK FOR IPHONE XS/X                       ,BASEUS                        ,15.69,50.0,99,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0 month,0.33,Non moving,11.322300000000002,Less profitable,Non moving - Less profitable,-,-
758236,6953156289819.0,SGAPIPH65-WC01 ,BASEUS FULL-SCREEN CURVED PRIVACY TEMPERED GLASS SCREEN PROTECTOR BLACK FOR IPHONE XS MAX                     ,BASEUS                        ,16.0,50.0,99,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Min 3 months,0.33,Non moving,11.22,Less profitable,Non moving - Less profitable,Buying Price,-
762679,6953156286962.0,CATYW-B01      ,BASEUS ARTISTIC STRIPED TYPE-C 3A CABLE 5M BLACK                                                              ,BASEUS                        ,14.390000000000038,45.0,89,23.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,Min 3 months,0.33,Non moving,10.101299999999988,Less profitable,Non moving - Less profitable,Buying Price,-
