Sku,UPC,Catalogue N,Title,Label,Arq COST,Cost Price,V.S.P.,401 Co,401.VMS cost,401.V.S.P.,401.AVG. WEEK,402 Co,402.VMS cost,402.V.S.P.,402.AVG. WEEK,404 Co,404.VMS cost,404.V.S.P.,404.AVG. WEEK,405 Co,405.VMS cost,405.V.S.P.,405.AVG. WEEK,412 Co,412.VMS cost,412.V.S.P.,412.AVG. WEEK,416 Co,416.VMS cost,416.V.S.P.,416.AVG. WEEK,417 Co,417.VMS cost,417.V.S.P.,417.AVG. WEEK,423 Co,423.VMS cost,423.V.S.P.,423.AVG. WEEK,424 Co,424.VMS cost,424.V.S.P.,424.AVG. WEEK,425 Co,425.VMS cost,425.V.S.P.,425.AVG. WEEK,426 Co,426.VMS cost,426.V.S.P.,426.AVG. WEEK,429 Co,429.VMS cost,429.V.S.P.,429.AVG. WEEK,444 Co,444.VMS cost,444.V.S.P.,444.AVG. WEEK,490 Co,490.VMS cost,490.V.S.P.,490.AVG. WEEK,Latest SOH,total sale of Goods,Status
734835,6.95E+12,SUGENT-ZN01    ,BASEUS SMART CAR MOUNT CELL PHONE HOLDER BLACK                                                                ,BASEUS                        ,1,49.5,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,49.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,Slow moving
734836,6.95E+12,WXZN-01        ,BASEUS CAR WIRELESS CHARGER SMART VEHICLE BRACKET                                                             ,BASEUS                        ,1,69.5,149,0,0,0,0,0,0,0,0,0,0,0,0,1,149,69.5,0.25,0,0,0,0,2,298,139,0.5,1,149,69.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,Fast moving
734837,6.95E+12,ACHDCJ-01      ,BASEUS HOLDER RED-DOT MOBILE GAME SCORING TOOL BLACK                                                          ,BASEUS                        ,1,24.5,49,0,0,0,0,0,0,0,0,10,490,245,2.5,0,0,0,0,5,245,122.5,1.25,14,686,343,3.5,2,98,49,0.5,0,0,0,0,5,245,122.5,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,36,Fast moving
734838,6.95E+12,ACHDCJ-02      ,BASEUS HOLDER RED-DOT MOBILE GAME SCORING TOOL TRANSPARENT                                                    ,BASEUS                        ,1,24.5,49,4,196,98,1,3,147,73.5,0.75,0,0,0,0,10,490,245,2.5,3,147,73.5,0.75,4,196,98,1,2,98,49,0.5,0,0,0,0,9,441,220.5,2.25,0,0,0,0,1,49,24.5,0.25,1,49,24.5,0.25,0,0,0,0,0,0,0,0,119,37,Fast moving
734839,6.95E+12,WXHSD-D01      ,BASEUS WIRELESS CHARGER POWER BANK 10000MAH BLACK                                                             ,BASEUS                        ,1,129.5,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Run out of stock
734840,6.95E+12,WXHSD-D02      ,BASEUS WIRELESS CHARGER POWER BANK 10000MAH WHITE                                                             ,BASEUS                        ,1,129.5,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Run out of stock
734841,6.95E+12,SUBR-A01       ,BASEUS BEAR MAGNETIC CAR BRACKET BLACK                                                                        ,BASEUS                        ,1,29.5,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Run out of stock
734843,6.95E+12,SUBR-A08       ,BASEUS BEAR MAGNETIC CAR BRACKET BROWN                                                                        ,BASEUS                        ,1,29.5,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Run out of stock
734845,6.95E+12,SUBR-A09       ,BASEUS BEAR MAGNETIC CAR BRACKET RED                                                                          ,BASEUS                        ,1,29.5,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Run out of stock
734848,6.95E+12,SUBR-ASG       ,BASEUS BEAR MAGNETIC CAR BRACKET SILVER GRAY                                                                  ,BASEUS                        ,1,29.5,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Run out of stock
734864,6.95E+12,ACBZ-AP09      ,BASEUS AP PENCIL SILICONE CHARGING STAND FOR APPLE PENCIL RED                                                 ,BASEUS                        ,1,19.5,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,Non moving
734865,6.95E+12,ACBZ-AP01      ,BASEUS AP PENCIL SILICONE CHARGING STAND FOR APPLE PENCIL BLACK                                               ,BASEUS                        ,1,19.5,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,Non moving
734866,6.95E+12,ACBZ-AP0G      ,BASEUS AP PENCIL SILICONE CHARGING STAND FOR APPLE PENCIL GREY                                                ,BASEUS                        ,1,19.5,39,0,0,0,0,0,0,0,0,0,0,0,0,1,39,19.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,Slow moving
734867,6.95E+12,NGW02-01       ,BASEUS ENCOK W02 TWS TRULY WIRELESS HEADSET BLACK                                                             ,BASEUS                        ,1,104.5,219,0,0,0,0,0,0,0,0,0,0,0,0,-1,-219,-104.5,-0.25,0,0,0,0,1,219,104.5,0.25,0,0,0,0,2,438,209,0.5,0,0,0,0,1,219,104.5,0.25,0,0,0,0,1,219,104.5,0.25,0,0,0,0,0,0,0,0,31,4,Fast moving
734868,6.95E+12,NGW02-02       ,BASEUS ENCOK W02 TWS TRULY WIRELESS HEADSET WHITE                                                             ,BASEUS                        ,1,104.5,219,0,0,0,0,1,219,104.5,0.25,0,0,0,0,1,219,104.5,0.25,0,0,0,0,3,657,313.5,0.75,0,0,0,0,-1,-219,-104.5,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,Fast moving
734869,6.95E+12,NGS16-09       ,BASEUS ENCOK NECK HUNG BLUETOOTH EARPHONES S16 RED                                                            ,BASEUS                        ,1,99.5,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Non moving
734870,6.95E+12,NGS16-06       ,BASEUS ENCOK NECK HUNG BLUETOOTH EARPHONES S16 GREEN                                                          ,BASEUS                        ,1,99.5,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Non moving
734871,6.95E+12,WXJS-A1        ,BASEUS METAL WIRELESS CHARGER TARNISH/BLACK                                                                   ,BASEUS                        ,1,59.5,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119,59.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Slow moving
734872,6.95E+12,WXJS-S2        ,BASEUS METAL WIRELESS CHARGER SILVER/WHITE                                                                    ,BASEUS                        ,1,59.5,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,Non moving
734873,6.95E+12,WXBV-01        ,BASEUS BV WIRELESS CHARGER BLACK                                                                              ,BASEUS                        ,1,34.5,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69,34.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,Slow moving
734874,6.95E+12,WXBV-02        ,BASEUS BV WIRELESS CHARGER WHITE                                                                              ,BASEUS                        ,1,34.5,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,Non moving
734875,6.95E+12,WXBV-03        ,BASEUS BV WIRELESS CHARGER BLUE                                                                               ,BASEUS                        ,1,44.5,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Run out of stock
734876,6.95E+12,CCALL-JK01     ,BASEUS SIMPLE WIRELESS CHARGER BLACK                                                                          ,BASEUS                        ,1,49.5,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,49.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,Slow moving
734877,6.95E+12,CCALL-JK02     ,BASEUS SIMPLE WIRELESS CHARGER WHITE                                                                          ,BASEUS                        ,1,49.5,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,Non moving
734878,6.95E+12,CCALL-AJK01    ,BASEUS SIMPLE WIRELESS CHARGER TRANSPARENT                                                                    ,BASEUS                        ,1,54.5,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,238,109,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,Slow moving
734879,6.95E+12,WXXHJ-B01      ,BASEUS DUAL WIRELESS CHARGER BLACK +WALL CHARGER & CABLE                                                      ,BASEUS                        ,1,94.5,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,199,94.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,Slow moving
734880,6.95E+12,WXXHJ-B0S      ,BASEUS DUAL WIRELESS CHARGER SILVER +WALL CHARGER & CABLE                                                     ,BASEUS                        ,1,94.5,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,Non moving
734881,6.95E+12,WX2IN1-02      ,BASEUS SMART 2 IN 1 WIRELESS CHARGER WHITE                                                                    ,BASEUS                        ,1,84.5,179,0,0,0,0,0,0,0,0,0,0,0,0,3,537,253.5,0.75,0,0,0,0,1,179,84.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,4,Fast moving
734882,6.95E+12,PPALL-AKU01    ,BASEUS MINI CU DIGITAL DISPLAY POWER BANK 10000MAH BLACK                                                      ,BASEUS                        ,1,64.5,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,278,129,0.5,0,0,0,0,1,139,64.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3,Fast moving
734883,6.95E+12,PPALL-AKU02    ,BASEUS MINI CU DIGITAL DISPLAY POWER BANK 10000MAH WHITE                                                      ,BASEUS                        ,1,64.5,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Run out of stock
734884,6.95E+12,PPALL-EX01     ,BASEUS DUAL OUTPUT WIRELESS CHARGE POWER BANK 8000MAH BLACK                                                   ,BASEUS                        ,1,69.5,149,0,0,0,0,1,149,69.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,2,298,139,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,Fast moving
734885,6.95E+12,PPALL-EX09     ,BASEUS DUAL OUTPUT WIRELESS CHARGE POWER BANK 8000MAH RED                                                     ,BASEUS                        ,1,79.5,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,169,79.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,Slow moving
734886,6.95E+12,PPALL-PX01     ,BASEUS PARALLEL LINE POWER BANK 10000MAH BLACK                                                                ,BASEUS                        ,1,59.5,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Run out of stock
734887,6.95E+12,PPALL-PX02     ,BASEUS PARALLEL LINE POWER BANK 10000MAH WHITE                                                                ,BASEUS                        ,1,49.5,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,49.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,Slow moving
734888,6.95E+12,PPALL-PX03     ,BASEUS PARALLEL LINE POWER BANK 10000MAH BLUE                                                                 ,BASEUS                        ,1,59.5,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Run out of stock
734889,6.95E+12,PPKC-A01       ,BASEUS POWERFUL TYPE-C PD+QC3.0 20000MAH POWER BANK BLACK                                                     ,BASEUS                        ,1,119.5,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Run out of stock
734890,6.95E+12,PPKC-A02       ,BASEUS POWERFUL TYPE-C PD+QC3.0 20000MAH POWER BANK WHITE                                                     ,BASEUS                        ,1,119.5,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Non moving
734891,6.95E+12,PPKC-A09       ,BASEUS POWERFUL TYPE-C PD+QC3.0 20000MAH POWER BANK RED                                                       ,BASEUS                        ,1,119.5,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Run out of stock
734892,6.95E+12,PPALL-QY01     ,BASEUS THIN WIRELESS CHARGE 10000MAH POWER BANK BLACK                                                         ,BASEUS                        ,1,109.5,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,229,109.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,Slow moving
734893,6.95E+12,PPALL-QY02     ,BASEUS THIN WIRELESS CHARGE 10000 MAH POWER BANK WHITE                                                        ,BASEUS                        ,1,109.5,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,Non moving
734894,6.95E+12,PPALL-QY04     ,BASEUS THIN WIRELESS CHARGE 10000MAH POWER BANK PINK                                                          ,BASEUS                        ,1,109.5,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,Non moving
