Sku,UPC,Catalogue N,Title,Label,Arq COST,Cost Price,V.S.P.,Latest SOH,01-2019 total sale of Goods,02-2019 total sale of Goods,03-2019 total sale of Goods,04-2019 total sale of Goods,05-2019 total sale of Goods,06-2019 total sale of Goods,07-2019 total sale of Goods,08-2019 total sale of Goods,09-2019 total sale of Goods,Existence on Shop,3 months avrage sale,Stock Status,profit,Profit status,Final Status,Non Moving Action,Reordering
317277,4716076166958,BK18002-BK     ,BONE COLLECTION BIKE TIE PRO 2 BLACK                                                                          ,BONE COLLECTION               ,23.16,39.5,79,5,0,0,0,0,0,0,6,1,0,Min 3 months,2.33,Slow moving,38.0722,Profitable,Slow moving - Profitable,-,-
317278,4716076166941,BK18002-R      ,BONE COLLECTION BIKE TIE PRO 2 RED                                                                            ,BONE COLLECTION               ,23.16,39.5,79,28,0,0,0,0,0,0,1,5,0,Min 3 months,2,Slow moving,32.68,Less profitable,Slow moving - Less profitable,-,-
317280,4716076166965,BK18002-GR     ,BONE COLLECTION BIKE TIE PRO 2 GREY                                                                           ,BONE COLLECTION               ,23.16,39.5,79,19,0,0,0,0,0,2,7,3,0,Min 3 months,3.33,Slow moving,54.4122,Profitable,Slow moving - Profitable,-,-
317296,4716076167474,PH18502-GR     ,BONE COLLECTION RUN TIE GREY L ARMBAND                                                                        ,BONE COLLECTION               ,28.95,44.5,89,28,0,0,0,0,0,4,8,9,1,Min 3 months,6,Slow moving,93.3,Profitable,Slow moving - Profitable,-,-
317301,4716076167450,PH18501-GR     ,BONE COLLECTION RUN TIE GREY S ARMBAND                                                                        ,BONE COLLECTION               ,28.95,44.5,89,22,0,0,0,0,0,1,0,3,0,Min 3 months,1,Slow moving,15.55,Less profitable,Slow moving - Less profitable,-,-
317311,4716076168341,PH18101-DEE    ,BONE COLLECTION MR DEER QCASE FOR IPHONE XS                                                                   ,BONE COLLECTION               ,22.39,29.5,59,6,0,0,0,0,0,3,9,6,0,Min 3 months,5,Slow moving,35.55,Profitable,Slow moving - Profitable,-,-
317312,4716076168358,PH18101-DUC    ,BONE COLLECTION PATTI DUCK QCASE FOR IPHONE XS                                                                ,BONE COLLECTION               ,22.39,29.5,59,1,0,0,0,0,0,2,7,0,2,Min 3 months,3,Slow moving,21.33,Less profitable,Slow moving - Less profitable,-,-
317316,4716076168365,PH18101-CAT    ,BONE COLLECTION MIAO CAT QCASE FOR IPHONE XS                                                                  ,BONE COLLECTION               ,22.39,29.5,59,1,0,0,0,0,0,7,10,7,0,Min 3 months,5.67,Slow moving,40.3137,Profitable,Slow moving - Profitable,-,-
317320,4716076167856,PH18080-DEE    ,BONE COLLECTION MR DEER QCASE FOR IPHONE XS MAX                                                               ,BONE COLLECTION               ,21.23,29.5,59,4,0,0,0,0,0,2,9,5,0,Min 3 months,4.67,Slow moving,38.6209,Profitable,Slow moving - Profitable,-,-
317324,4716076167863,PH18080-DUC    ,BONE COLLECTION PATTI DUCK QCASE FOR IPHONE XS MAX                                                            ,BONE COLLECTION               ,21.23,29.5,59,-1,0,0,0,0,0,1,5,1,0,0 month,2,Slow moving,16.54,Less profitable,Slow moving - Less profitable,-,-
