Sku,UPC,Catalogue N,Title,Label,Cost Price,V.S.P.,401.Quantit,401.Sales Quantity,401.Sales Value,402.Quantit,402.Sales Quantity,402.Sales Value,403.Quantit,403.Sales Quantity,403.Sales Value,404.Quantit,404.Sales Quantity,404.Sales Value,405.Quantit,405.Sales Quantity,405.Sales Value,406.Quantit,406.Sales Quantity,406.Sales Value,407.Quantit,407.Sales Quantity,407.Sales Value,408.Quantit,408.Sales Quantity,408.Sales Value,409.Quantit,409.Sales Quantity,409.Sales Value,410.Quantit,410.Sales Quantity,410.Sales Value,411.Quantit,411.Sales Quantity,411.Sales Value,412.Quantit,412.Sales Quantity,412.Sales Value,413.Quantit,413.Sales Quantity,413.Sales Value,414.Quantit,414.Sales Quantity,414.Sales Value,415.Quantit,415.Sales Quantity,415.Sales Value,416.Quantit,416.Sales Quantity,416.Sales Value,417.Quantit,417.Sales Quantity,417.Sales Value,418.Quantit,418.Sales Quantity,418.Sales Value,419.Quantit,419.Sales Quantity,419.Sales Value,420.Quantit,420.Sales Quantity,420.Sales Value,421.Quantit,421.Sales Quantity,421.Sales Value,422.Quantit,422.Sales Quantity,422.Sales Value,423.Quantit,423.Sales Quantity,423.Sales Value,424.Quantit,424.Sales Quantity,424.Sales Value,425.Quantit,425.Sales Quantity,425.Sales Value,426.Quantit,426.Sales Quantity,426.Sales Value,427.Quantit,427.Sales Quantity,427.Sales Value,428.Quantit,428.Sales Quantity,428.Sales Value,429.Quantit,429.Sales Quantity,429.Sales Value,430.Quantit,430.Sales Quantity,430.Sales Value,431.Quantit,431.Sales Quantity,431.Sales Value,432.Quantit,432.Sales Quantity,432.Sales Value,433.Quantit,433.Sales Quantity,433.Sales Value,444.Quantit,444.Sales Quantity,444.Sales Value,451.Quantit,451.Sales Quantity,451.Sales Value,452.Quantit,452.Sales Quantity,452.Sales Value,453.Quantit,453.Sales Quantity,453.Sales Value,454.Quantit,454.Sales Quantity,454.Sales Value,455.Quantit,455.Sales Quantity,455.Sales Value,489.Quantit,489.Sales Quantity,489.Sales Value,490.Quantit,490.Sales Quantity,490.Sales Value,491.Quantit,491.Sales Quantity,491.Sales Value,492.Quantit,492.Sales Quantity,492.Sales Value,493.Quantit,493.Sales Quantity,493.Sales Value,494.Quantit,494.Sales Quantity,494.Sales Value,495.Quantit,495.Sales Quantity,495.Sales Value,496.Quantit,496.Sales Quantity,496.Sales Value,Arq COST
317277,4716076166958.0,BK18002-BK     ,BONE COLLECTION BIKE TIE PRO 2 BLACK                                                                          ,BONE COLLECTION               ,39.5,79,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.16
317278,4716076166941.0,BK18002-R      ,BONE COLLECTION BIKE TIE PRO 2 RED                                                                            ,BONE COLLECTION               ,39.5,79,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.16
317280,4716076166965.0,BK18002-GR     ,BONE COLLECTION BIKE TIE PRO 2 GREY                                                                           ,BONE COLLECTION               ,39.5,79,0,0,0,2,1,79,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.16
317296,4716076167474.0,PH18502-GR     ,BONE COLLECTION RUN TIE GREY L ARMBAND                                                                        ,BONE COLLECTION               ,44.5,89,1,1,89,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,1,89,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.95
317301,4716076167450.0,PH18501-GR     ,BONE COLLECTION RUN TIE GREY S ARMBAND                                                                        ,BONE COLLECTION               ,44.5,89,0,0,0,1,1,89,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.950000000000003
317311,4716076168341.0,PH18101-DEE    ,BONE COLLECTION MR DEER QCASE FOR IPHONE XS                                                                   ,BONE COLLECTION               ,29.5,59,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,59,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.39
317312,4716076168358.0,PH18101-DUC    ,BONE COLLECTION PATTI DUCK QCASE FOR IPHONE XS                                                                ,BONE COLLECTION               ,29.5,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.39
317316,4716076168365.0,PH18101-CAT    ,BONE COLLECTION MIAO CAT QCASE FOR IPHONE XS                                                                  ,BONE COLLECTION               ,29.5,59,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.39
317320,4716076167856.0,PH18080-DEE    ,BONE COLLECTION MR DEER QCASE FOR IPHONE XS MAX                                                               ,BONE COLLECTION               ,29.5,59,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.229999999999997
317324,4716076167863.0,PH18080-DUC    ,BONE COLLECTION PATTI DUCK QCASE FOR IPHONE XS MAX                                                            ,BONE COLLECTION               ,29.5,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.229999999999997
