Part No,Description,UPC,HMV,Vir,VMS UAE,VMS QAT,ARQOOB SOH, Product Distribution,Retailer SOH,,,,,Cost,,,,,Price,,,,RRP,,,,Jan,,,,,Feb,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,
,,,,,,,,,HMV,VMS-U,VMS-Q,Vir,Total, HMV , VMS-U , VMS-Q , Vir (QAR) ,Final, HMV , VMS-U , VMS-Q ,Vir (QAR), HMV , VMS-U , VMS-Q ,Vir (QAR),HMV,VMS-U,VMS-Q,Vir,Total,HMV,VMS-U,VMS-Q,Vir,Total,HMV,VMS-U,VMS-Q,Vir,Total,HMV,VMS-U,VMS-Q,Vir,Total,HMV,VMS-U,VMS-Q,Vir,Total,HMV,VMS-U,VMS-Q,Vir,Total,HMV,VMS-U,VMS-Q,Vir,Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Baseus Cafule Cable Durable Nylon Braided Wire USB/ micro US,695315628039,,,,,,,,,,0,0,,,,,0.00,,,,,,,,37,,,,,0,,,,,0,,,,0,0,,,,,0,,,,0,0,,,,0,0,,,,0,0
BTC-320BK      ,Brave 2-port USB Wall Charger Black,744790286205,1,1,1,,,,5,38,27,,70,18.71,22.00,22.00,,22.00,54.45,44.50,49.50,,,93.00,99.00,,,,,,0,,,,,0,,,,,0,,0,0,,0,,12,0,,12,,20,3,,23,,20,1,,21
BAC-106,Brave Lightning to 3.5mm Audio Cable Black,744790317350,,,,,15.00,,0,,,,0,,,,,0.00,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,3,,,,3
BHL-712        ,BRAVE LOTTO SERIES MAGNETIC CAR MOUNTS                                                                        ,744790317374,,1,,,,,,40,,,40,,12.99,,,12.99,,34.50,,,,69.00,,,,6,,,6,,13,,,13,,16,,,16,,21,,,21,,5,,,5,,10,,,10,,30,,,30
BHL-713        ,BRAVE 2-IN-1 UNIVERSAL MAGNETIC HOLDER                                                                        ,744790317381,,1,,,,,,48,,,48,,12.81,,,12.81,,29.50,,,,59.00,,,,12,,,12,,18,,,18,,14,,,14,,44,,,44,,30,,,30,,47,,,47,,40,,,40
BTC-320BK,Brave 2-port USB Wall Charger Black,744790317428,1,,,,3662.00,Not OK,5,,,,5,,,,,0.00,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0
BAC-106,Brave Lightning to 3.5mm Audio Cable Black,744796317350,1,,,,,,5,,,,5,22.36,,,,22.36,54.45,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,2,,,,2,,,,,0
BTC-320,Brave 2-port USB Wall Charger White,744796317428,1,,,,,,5,,,,5,18.71,,,,18.71,54.45,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
BTC-320,Brave 2-port USB Wall Charger White,744796317429,1,,,,,,4,,,,4,,,,,0.00,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,,,,1
FE020-1W,Bone Collection PANDA STRAP-WHITE,4712818795646,1,,,,16.00,,3,,,,3,7.33,,,,7.33,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0
FE021-1G,Bone Collection DINOSAUR STRAP-GREEN,4712818795677,1,,,,19.00,,3,,,,3,7.33,,,,7.33,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0
FE030-1GR,Bone Collection TIGER STRAP-GREY,4712818799231,1,,,,20.00,,3,,,,3,7.33,,,,7.33,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0
FE031-1R,Bone Collection NINJA STRAP-RED,4712818799477,1,,,,16.00,,3,,,,3,7.33,,,,7.33,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0
FE031-1BK,Bone Collection NINJA STRAP-BLACK,4712818799484,1,,,,14.00,,3,,,,3,7.33,,,,7.33,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0
FE036-1G,Bone Collection OWL STRAP-GREEN,4712818799705,1,,,,20.00,,3,,,,3,7.33,,,,7.33,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0
FE038-1BR,Bone Collection DEER STRAP-BROWN,4712818799880,1,,,,19.00,,3,,,,3,7.33,,,,7.33,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0
FE045-BK,Bone Collection CAT STRAP-BLACK,4716076151329,1,,,,21.00,,3,,,,3,7.33,,,,7.33,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0
FE053-BK,Bone Collection Candy Maru Strap-BLACK,4716076154436,1,,,,27.00,,3,,,,3,7.33,,,,7.33,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0
FE059-R,Bone Collection Ninja Wrap-RED,4716076157680,1,,,,83.00,,3,,,,3,7.35,,,,7.35,26.95,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,0,,,,0
