Part No,Description,UPC,ARQOOB SOH,Retailer SOH,Final_Cost,Month,Weeks,Product Lead Time (Days),Last Update,January_QTY,February_QTY,March_QTY,April_QTY,May_QTY,June_QTY,July_QTY,QTY Sold,Avh per Day,Avg per Month,Closing Stock,Days Stock in Hand,Deviation from Minimum Stock Level,MSL (2 Mont Covering),Current Stock Cover upto (Date),Arrival Date,Arrival Date (ETA),required(Qty),Balance Stock,Minimum order QTY,PO QTY,New PO Value,Stock Days inc On Order,Stock cover upto (Date) Inc On Order
,Baseus Cafule Cable Durable Nylon Braided Wire USB/ micro US,6.95E+11,0,0,0,0,5,14,07/27/2019,0,0,0,0,0,0,0,0,0,0,0,Not Sold,-,0,Not Sold,10/08/2019,Not Sold,0,0,1,0,0,-,-
BTC-320BK      ,Brave 2-port USB Wall Charger Black,7.45E+11,0,70,22,3,5,14,07/27/2019,0,0,0,0,12,23,21,56,0.45,18.67,70,155.5555556,-,37.34,29/12/2019,10/08/2019,29/12/2019,6.3,441,1,0,0,0,29/12/2019
BAC-106,Brave Lightning to 3.5mm Audio Cable Black,7.45E+11,15,0,0,1,5,14,07/27/2019,0,0,0,0,0,0,3,3,0.05,3,15,300,-,6,22/05/2020,10/08/2019,22/05/2020,0.7,10.5,1,0,0,0,22/05/2020
BHL-712        ,BRAVE LOTTO SERIES MAGNETIC CAR MOUNTS                                                                        ,7.45E+11,0,40,12.99,7,5,14,07/27/2019,6,13,16,21,5,10,30,101,0.41,14.43,40,97.56097561,-,28.86,01/11/2019,10/08/2019,10/08/2019,5.74,229.6,1,0,0,0,10/08/2019
BHL-713        ,BRAVE 2-IN-1 UNIVERSAL MAGNETIC HOLDER                                                                        ,7.45E+11,0,48,12.81,7,5,14,07/27/2019,12,18,14,44,30,47,40,205,0.84,29.29,48,57.14285714,-,58.58,22/09/2019,10/08/2019,22/09/2019,11.76,564.48,1,0,0,0,22/09/2019
BTC-320BK,Brave 2-port USB Wall Charger Black,7.45E+11,3662,5,0,0,5,14,07/27/2019,0,0,0,0,0,0,0,0,0,0,3667,Not Sold,-,0,Not Sold,10/08/2019,Not Sold,0,0,1,0,0,-,-
BAC-106,Brave Lightning to 3.5mm Audio Cable Black,7.45E+11,0,5,22.36,1,5,14,07/27/2019,0,0,0,0,0,2,0,2,0.07,2,5,71.42857143,-,4,06/10/2019,10/08/2019,10/08/2019,0.98,4.9,1,0,0,0,10/08/2019
BTC-320,Brave 2-port USB Wall Charger White,7.45E+11,0,5,18.71,0,5,14,07/27/2019,0,0,0,0,0,0,0,0,0,0,5,Not Sold,-,0,Not Sold,10/08/2019,Not Sold,0,0,1,0,0,-,-
BTC-320,Brave 2-port USB Wall Charger White,7.45E+11,0,4,0,1,5,14,07/27/2019,0,0,0,0,0,0,1,1,0.02,1,4,200,-,2,12/02/2020,10/08/2019,12/02/2020,0.28,1.12,1,0,0,0,12/02/2020
FE020-1W,Bone Collection PANDA STRAP-WHITE,4.71E+12,16,3,7.33,0,5,14,07/27/2019,0,0,0,0,0,0,0,0,0,0,19,Not Sold,-,0,Not Sold,10/08/2019,Not Sold,0,0,1,0,0,-,-
FE021-1G,Bone Collection DINOSAUR STRAP-GREEN,4.71E+12,19,3,7.33,0,5,14,07/27/2019,0,0,0,0,0,0,0,0,0,0,22,Not Sold,-,0,Not Sold,10/08/2019,Not Sold,0,0,1,0,0,-,-
FE030-1GR,Bone Collection TIGER STRAP-GREY,4.71E+12,20,3,7.33,0,5,14,07/27/2019,0,0,0,0,0,0,0,0,0,0,23,Not Sold,-,0,Not Sold,10/08/2019,Not Sold,0,0,1,0,0,-,-
FE031-1R,Bone Collection NINJA STRAP-RED,4.71E+12,16,3,7.33,0,5,14,07/27/2019,0,0,0,0,0,0,0,0,0,0,19,Not Sold,-,0,Not Sold,10/08/2019,Not Sold,0,0,1,0,0,-,-
FE031-1BK,Bone Collection NINJA STRAP-BLACK,4.71E+12,14,3,7.33,0,5,14,07/27/2019,0,0,0,0,0,0,0,0,0,0,17,Not Sold,-,0,Not Sold,10/08/2019,Not Sold,0,0,1,0,0,-,-
FE036-1G,Bone Collection OWL STRAP-GREEN,4.71E+12,20,3,7.33,0,5,14,07/27/2019,0,0,0,0,0,0,0,0,0,0,23,Not Sold,-,0,Not Sold,10/08/2019,Not Sold,0,0,1,0,0,-,-
FE038-1BR,Bone Collection DEER STRAP-BROWN,4.71E+12,19,3,7.33,0,5,14,07/27/2019,0,0,0,0,0,0,0,0,0,0,22,Not Sold,-,0,Not Sold,10/08/2019,Not Sold,0,0,1,0,0,-,-
FE045-BK,Bone Collection CAT STRAP-BLACK,4.72E+12,21,3,7.33,0,5,14,07/27/2019,0,0,0,0,0,0,0,0,0,0,24,Not Sold,-,0,Not Sold,10/08/2019,Not Sold,0,0,1,0,0,-,-
FE053-BK,Bone Collection Candy Maru Strap-BLACK,4.72E+12,27,3,7.33,0,5,14,07/27/2019,0,0,0,0,0,0,0,0,0,0,30,Not Sold,-,0,Not Sold,10/08/2019,Not Sold,0,0,1,0,0,-,-
